#chr	start	geneID	nearest	TSS	distance_to_TSS	distance_to_TES	strand	in_the_gene	transcripts_inbetween	transcript_ids_inbetween
chr9	116828689	.	.	.	.	.	.	.	.	.
chr9	116828689	.	.	.	.	.	.	.	.	.
chr9	116828689	.	.	.	.	.	.	.	.	.
chr9	116828689	.	.	.	.	.	.	.	.	.
chr9	116828689	.	.	.	.	.	.	.	.	.
chr2	157260393	.	.	.	.	.	.	.	.	.
chr4	126168413	.	.	.	.	.	.	.	.	.
chr2	110568326	.	.	.	.	.	.	.	.	.
chr10	114752719	.	.	.	.	.	.	.	.	.
chr2	60283369	.	.	.	.	.	.	.	.	.
chr1	54641754	.	.	.	.	.	.	.	.	.
chr9	100543647	.	.	.	.	.	.	.	.	.
chr18	11755885	.	.	.	.	.	.	.	.	.
chr7	17429367	.	.	.	.	.	.	.	.	.
chr16	25836029	.	.	.	.	.	.	.	.	.
chr16	25843933	.	.	.	.	.	.	.	.	.
chr5	136097865	.	.	.	.	.	.	.	.	.
chr4	62324439	.	.	.	.	.	.	.	.	.
chr7	128854935	.	.	.	.	.	.	.	.	.
chr11	100148455	.	.	.	.	.	.	.	.	.
chr2	129432150	.	.	.	.	.	.	.	.	.
chr3	122624125	.	.	.	.	.	.	.	.	.
chr8	97699878	.	.	.	.	.	.	.	.	.
chr1	63674953	.	.	.	.	.	.	.	.	.
chr7	146041529	.	.	.	.	.	.	.	.	.
chr3	37395368	.	.	.	.	.	.	.	.	.
chr5	35342159	.	.	.	.	.	.	.	.	.
chr15	54185561	.	.	.	.	.	.	.	.	.
chr14	73770668	.	.	.	.	.	.	.	.	.
chr8	129549456	.	.	.	.	.	.	.	.	.
chr4	136838756	.	.	.	.	.	.	.	.	.
chr16	78632436	.	.	.	.	.	.	.	.	.
chr14	120603083	.	.	.	.	.	.	.	.	.
chr14	120721569	.	.	.	.	.	.	.	.	.
chr1	185865026	.	.	.	.	.	.	.	.	.
chr1	24619593	.	.	.	.	.	.	.	.	.
chr1	24619958	.	.	.	.	.	.	.	.	.
chr1	24741037	.	.	.	.	.	.	.	.	.
chr15	85064373	.	.	.	.	.	.	.	.	.
chr10	57702300	.	.	.	.	.	.	.	.	.
chr4	41654489	.	.	.	.	.	.	.	.	.
chr13	104768206	.	.	.	.	.	.	.	.	.
chr2	164682813	.	.	.	.	.	.	.	.	.
chr6	83093011	.	.	.	.	.	.	.	.	.
chr13	12578010	.	.	.	.	.	.	.	.	.
chr9	67556540	.	.	.	.	.	.	.	.	.
chr10	13408622	.	.	.	.	.	.	.	.	.
chr10	60696228	.	.	.	.	.	.	.	.	.
chr8	19919526	.	.	.	.	.	.	.	.	.
chr8	19924810	.	.	.	.	.	.	.	.	.
chr16	70314810	.	.	.	.	.	.	.	.	.
chr13	73643112	.	.	.	.	.	.	.	.	.
chr11	87967409	.	.	.	.	.	.	.	.	.
chr11	87967599	.	.	.	.	.	.	.	.	.
chr3	109489624	.	.	.	.	.	.	.	.	.
chr18	35061192	.	.	.	.	.	.	.	.	.
chr1	36116936	.	.	.	.	.	.	.	.	.
chr8	73173598	.	.	.	.	.	.	.	.	.
chr8	73183558	.	.	.	.	.	.	.	.	.
chr7	125720143	.	.	.	.	.	.	.	.	.
chr14	76292024	.	.	.	.	.	.	.	.	.
chr8	22870138	.	.	.	.	.	.	.	.	.
chr3	52912682	.	.	.	.	.	.	.	.	.
chr1	158520668	.	.	.	.	.	.	.	.	.
chr1	158547339	.	.	.	.	.	.	.	.	.
chr2	148295584	.	.	.	.	.	.	.	.	.
chr2	148343818	.	.	.	.	.	.	.	.	.
chr4	126168413	.	.	.	.	.	.	.	.	.
chr16	57391635	.	.	.	.	.	.	.	.	.
chr16	57391748	.	.	.	.	.	.	.	.	.
chr15	99628562	.	.	.	.	.	.	.	.	.
chr12	57923295	.	.	.	.	.	.	.	.	.
chr11	102973374	.	.	.	.	.	.	.	.	.
chr13	57960273	.	.	.	.	.	.	.	.	.
chr14	73637753	.	.	.	.	.	.	.	.	.
chrX	140401017	.	.	.	.	.	.	.	.	.
chr5	65807245	.	.	.	.	.	.	.	.	.
chr4	135129138	.	.	.	.	.	.	.	.	.
chr1	158845321	.	.	.	.	.	.	.	.	.
chr7	26574315	.	.	.	.	.	.	.	.	.
chr2	35346371	.	.	.	.	.	.	.	.	.
chr7	120393123	.	.	.	.	.	.	.	.	.
chr1	135862036	.	.	.	.	.	.	.	.	.
chr4	122723762	.	.	.	.	.	.	.	.	.
chr10	127184557	.	.	.	.	.	.	.	.	.
chr11	84381942	.	.	.	.	.	.	.	.	.
chr9	72497695	.	.	.	.	.	.	.	.	.
chr17	28834572	.	.	.	.	.	.	.	.	.
chr17	28834572	.	.	.	.	.	.	.	.	.
chr9	108851463	.	.	.	.	.	.	.	.	.
chr9	54460731	.	.	.	.	.	.	.	.	.
chr2	30663471	.	.	.	.	.	.	.	.	.
chr8	109275046	.	.	.	.	.	.	.	.	.
chr8	109334564	.	.	.	.	.	.	.	.	.
chr1	133124938	.	.	.	.	.	.	.	.	.
chr1	158845321	.	.	.	.	.	.	.	.	.
chr2	131923486	.	.	.	.	.	.	.	.	.
chr4	133155902	.	.	.	.	.	.	.	.	.
chr4	133160955	.	.	.	.	.	.	.	.	.
chr1	24619593	.	.	.	.	.	.	.	.	.
chr1	24619958	.	.	.	.	.	.	.	.	.
chr9	72916030	.	.	.	.	.	.	.	.	.
chr7	125720143	.	.	.	.	.	.	.	.	.
chr3	85735976	.	.	.	.	.	.	.	.	.
chr13	10082361	.	.	.	.	.	.	.	.	.
chr11	110241161	.	.	.	.	.	.	.	.	.
chr15	84022595	.	.	.	.	.	.	.	.	.
chr17	56447632	.	.	.	.	.	.	.	.	.
chr11	100964551	.	.	.	.	.	.	.	.	.
chr2	173901730	.	.	.	.	.	.	.	.	.
chr9	74815214	.	.	.	.	.	.	.	.	.
chr19	61275648	.	.	.	.	.	.	.	.	.
chr4	40845966	.	.	.	.	.	.	.	.	.
chr2	28282918	.	.	.	.	.	.	.	.	.
chr2	31019531	.	.	.	.	.	.	.	.	.
chr16	43574371	.	.	.	.	.	.	.	.	.
chr3	88458239	.	.	.	.	.	.	.	.	.
chr4	105979770	.	.	.	.	.	.	.	.	.
chr1	72779940	.	.	.	.	.	.	.	.	.
chr1	72780142	.	.	.	.	.	.	.	.	.
chr1	72825630	.	.	.	.	.	.	.	.	.
chr16	24948588	.	.	.	.	.	.	.	.	.
chr9	107478162	.	.	.	.	.	.	.	.	.
chr5	15052325	.	.	.	.	.	.	.	.	.
chr5	15112758	.	.	.	.	.	.	.	.	.
chr6	128326644	.	.	.	.	.	.	.	.	.
chr18	50224778	.	.	.	.	.	.	.	.	.
chr2	30663471	.	.	.	.	.	.	.	.	.
chr2	30663471	.	.	.	.	.	.	.	.	.
chr1	78641027	.	.	.	.	.	.	.	.	.
chr5	102846906	.	.	.	.	.	.	.	.	.
chr14	65935630	.	.	.	.	.	.	.	.	.
chr1	163837980	.	.	.	.	.	.	.	.	.
chr7	152450338	.	.	.	.	.	.	.	.	.
chr7	152450519	.	.	.	.	.	.	.	.	.
chr3	131236567	.	.	.	.	.	.	.	.	.
chr4	153446235	.	.	.	.	.	.	.	.	.
chr1	39502327	BC049091_D1Bwg0212e	1 of 1	39592545	90218	101407	+	NO	1	NM_018775_Tbc1d8
chr16	16866444	.	.	.	.	.	.	.	.	.
chr4	137004194	.	.	.	.	.	.	.	.	.
chr4	140731847	.	.	.	.	.	.	.	.	.
chr5	23977791	.	.	.	.	.	.	.	.	.
chr5	136097865	.	.	.	.	.	.	.	.	.
chr1	145601109	.	.	.	.	.	.	.	.	.
chr16	96224521	.	.	.	.	.	.	.	.	.
chr7	139426142	.	.	.	.	.	.	.	.	.
chr14	65935630	.	.	.	.	.	.	.	.	.
chr7	26061110	.	.	.	.	.	.	.	.	.
chr16	35981824	.	.	.	.	.	.	.	.	.
chr5	35245832	.	.	.	.	.	.	.	.	.
chr10	114994096	.	.	.	.	.	.	.	.	.
chr16	25836029	.	.	.	.	.	.	.	.	.
chr16	25843933	.	.	.	.	.	.	.	.	.
chr17	47404360	.	.	.	.	.	.	.	.	.
chr1	167916419	.	.	.	.	.	.	.	.	.
chr4	153446235	.	.	.	.	.	.	.	.	.
chrX	109484691	.	.	.	.	.	.	.	.	.
chr9	13408238	.	.	.	.	.	.	.	.	.
chr13	23610160	.	.	.	.	.	.	.	.	.
chr14	55194787	.	.	.	.	.	.	.	.	.
chr2	136745391	.	.	.	.	.	.	.	.	.
chr13	38172741	.	.	.	.	.	.	.	.	.
chr13	38254769	.	.	.	.	.	.	.	.	.
chr7	137484210	.	.	.	.	.	.	.	.	.
chr14	33150022	.	.	.	.	.	.	.	.	.
chr11	93986729	.	.	.	.	.	.	.	.	.
chr15	53027764	.	.	.	.	.	.	.	.	.
chr15	53130961	.	.	.	.	.	.	.	.	.
chr4	129093950	.	.	.	.	.	.	.	.	.
chr4	41654489	.	.	.	.	.	.	.	.	.
chr12	106237696	.	.	.	.	.	.	.	.	.
chr10	43640892	.	.	.	.	.	.	.	.	.
chr2	60283369	.	.	.	.	.	.	.	.	.
chr1	158845321	.	.	.	.	.	.	.	.	.
chr1	194967560	BC055955_A130010J15Rik	1 of 1	194999663	32103	36455	+	NO	1	NM_016851_Irf6
chr4	63117595	.	.	.	.	.	.	.	.	.
chr4	63120747	.	.	.	.	.	.	.	.	.
chr4	63117595	.	.	.	.	.	.	.	.	.
chr4	63120747	.	.	.	.	.	.	.	.	.
chr4	63117595	.	.	.	.	.	.	.	.	.
chr4	63120747	.	.	.	.	.	.	.	.	.
chr4	63117595	.	.	.	.	.	.	.	.	.
chr4	63120747	.	.	.	.	.	.	.	.	.
chr4	63117595	.	.	.	.	.	.	.	.	.
chr4	63120747	.	.	.	.	.	.	.	.	.
chr4	63117595	.	.	.	.	.	.	.	.	.
chr4	63120747	.	.	.	.	.	.	.	.	.
chr4	63117595	.	.	.	.	.	.	.	.	.
chr4	63120747	.	.	.	.	.	.	.	.	.
chr3	67769446	.	.	.	.	.	.	.	.	.
chr11	6069204	.	.	.	.	.	.	.	.	.
chr4	132011663	.	.	.	.	.	.	.	.	.
chr4	53453177	.	.	.	.	.	.	.	.	.
chr4	63117595	.	.	.	.	.	.	.	.	.
chr4	63120747	.	.	.	.	.	.	.	.	.
chr14	51711605	.	.	.	.	.	.	.	.	.
chr8	81256455	.	.	.	.	.	.	.	.	.
chr9	54460731	.	.	.	.	.	.	.	.	.
chr3	148641587	.	.	.	.	.	.	.	.	.
chr3	148641735	.	.	.	.	.	.	.	.	.
chr8	17594804	.	.	.	.	.	.	.	.	.
chr9	8033087	.	.	.	.	.	.	.	.	.
chr9	8055015	.	.	.	.	.	.	.	.	.
chr16	17949763	.	.	.	.	.	.	.	.	.
chr1	158845321	.	.	.	.	.	.	.	.	.
chr7	35861923	.	.	.	.	.	.	.	.	.
chr11	87257043	.	.	.	.	.	.	.	.	.
chr15	102066010	.	.	.	.	.	.	.	.	.
chr3	67769446	.	.	.	.	.	.	.	.	.
chr4	155148830	.	.	.	.	.	.	.	.	.
chr3	7487953	.	.	.	.	.	.	.	.	.
chr11	102973374	.	.	.	.	.	.	.	.	.
chr18	40467892	.	.	.	.	.	.	.	.	.
chr11	87967409	.	.	.	.	.	.	.	.	.
chr11	87967599	.	.	.	.	.	.	.	.	.
chr15	35631086	.	.	.	.	.	.	.	.	.
chr1	40336020	.	.	.	.	.	.	.	.	.
chr14	57316903	.	.	.	.	.	.	.	.	.
chr8	73297497	.	.	.	.	.	.	.	.	.
chr17	28834572	.	.	.	.	.	.	.	.	.
chr7	89920499	.	.	.	.	.	.	.	.	.
chr7	17429367	.	.	.	.	.	.	.	.	.
chr8	109087961	.	.	.	.	.	.	.	.	.
chr2	126962808	.	.	.	.	.	.	.	.	.
chr1	194268840	.	.	.	.	.	.	.	.	.
chr8	10576464	.	.	.	.	.	.	.	.	.
chr3	80988962	.	.	.	.	.	.	.	.	.
chr5	73646186	.	.	.	.	.	.	.	.	.
chr5	73646186	.	.	.	.	.	.	.	.	.
chr5	73646186	.	.	.	.	.	.	.	.	.
chr15	55202036	.	.	.	.	.	.	.	.	.
chr8	73297497	.	.	.	.	.	.	.	.	.
chr8	93828640	.	.	.	.	.	.	.	.	.
chr2	126962808	.	.	.	.	.	.	.	.	.
chr3	109687117	.	.	.	.	.	.	.	.	.
chr1	40336020	.	.	.	.	.	.	.	.	.
chr5	143585307	.	.	.	.	.	.	.	.	.
chr17	33920556	.	.	.	.	.	.	.	.	.
chr2	35518012	.	.	.	.	.	.	.	.	.
chr2	35524862	.	.	.	.	.	.	.	.	.
chr2	35346371	.	.	.	.	.	.	.	.	.
chr2	35518012	.	.	.	.	.	.	.	.	.
chr2	35524862	.	.	.	.	.	.	.	.	.
chr7	28010205	.	.	.	.	.	.	.	.	.
chr5	124428096	.	.	.	.	.	.	.	.	.
chr8	107426996	.	.	.	.	.	.	.	.	.
chr6	146887669	.	.	.	.	.	.	.	.	.
chr3	109489624	.	.	.	.	.	.	.	.	.
chr11	93986729	.	.	.	.	.	.	.	.	.
chr3	69758259	.	.	.	.	.	.	.	.	.
chr16	24948588	.	.	.	.	.	.	.	.	.
chr14	52550650	.	.	.	.	.	.	.	.	.
chr2	127332233	.	.	.	.	.	.	.	.	.
chr11	83860977	.	.	.	.	.	.	.	.	.
chr19	53969373	.	.	.	.	.	.	.	.	.
chr19	47782532	.	.	.	.	.	.	.	.	.
chr5	102171703	.	.	.	.	.	.	.	.	.
chr8	34068894	.	.	.	.	.	.	.	.	.
chr13	33170306	.	.	.	.	.	.	.	.	.
chr7	119813749	.	.	.	.	.	.	.	.	.
chr13	40820500	.	.	.	.	.	.	.	.	.
chr13	57960273	.	.	.	.	.	.	.	.	.
chr4	41654489	.	.	.	.	.	.	.	.	.
chr6	83071812	.	.	.	.	.	.	.	.	.
chr10	60696228	.	.	.	.	.	.	.	.	.
chr10	7707698	.	.	.	.	.	.	.	.	.
chr1	52635488	.	.	.	.	.	.	.	.	.
chr6	83071812	.	.	.	.	.	.	.	.	.
chr9	42777363	.	.	.	.	.	.	.	.	.
chr15	80038823	.	.	.	.	.	.	.	.	.
chr1	44205544	.	.	.	.	.	.	.	.	.
chr11	97233548	.	.	.	.	.	.	.	.	.
chr13	47047075	.	.	.	.	.	.	.	.	.
chr13	47062921	.	.	.	.	.	.	.	.	.
chr16	24948588	.	.	.	.	.	.	.	.	.
chr12	25562241	.	.	.	.	.	.	.	.	.
chr12	25648378	.	.	.	.	.	.	.	.	.
chr6	83071812	.	.	.	.	.	.	.	.	.
chr6	83071812	.	.	.	.	.	.	.	.	.
chr4	151779151	.	.	.	.	.	.	.	.	.
chr4	151779297	.	.	.	.	.	.	.	.	.
chr7	56809068	.	.	.	.	.	.	.	.	.
chr7	137768001	.	.	.	.	.	.	.	.	.
chr11	97233548	.	.	.	.	.	.	.	.	.
chr11	97297212	.	.	.	.	.	.	.	.	.
chr4	153446235	.	.	.	.	.	.	.	.	.
chr5	141131567	.	.	.	.	.	.	.	.	.
chr3	108226998	.	.	.	.	.	.	.	.	.
chr10	89195191	.	.	.	.	.	.	.	.	.
chr12	25562241	.	.	.	.	.	.	.	.	.
chr12	25648378	.	.	.	.	.	.	.	.	.
chr6	128326644	.	.	.	.	.	.	.	.	.
chr4	98327543	.	.	.	.	.	.	.	.	.
chrX	139917606	.	.	.	.	.	.	.	.	.
chr9	8033087	.	.	.	.	.	.	.	.	.
chr10	79808095	.	.	.	.	.	.	.	.	.
chr10	82306942	.	.	.	.	.	.	.	.	.
chr16	33883661	.	.	.	.	.	.	.	.	.
chr16	96224521	.	.	.	.	.	.	.	.	.
chr14	69265002	.	.	.	.	.	.	.	.	.
chr14	69273108	.	.	.	.	.	.	.	.	.
chr3	87369620	.	.	.	.	.	.	.	.	.
chr7	20044401	.	.	.	.	.	.	.	.	.
chr6	76927942	.	.	.	.	.	.	.	.	.
chr15	101563471	.	.	.	.	.	.	.	.	.
chr10	60613588	.	.	.	.	.	.	.	.	.
chr9	116828689	.	.	.	.	.	.	.	.	.
chr14	58540770	.	.	.	.	.	.	.	.	.
chr4	63117595	.	.	.	.	.	.	.	.	.
chr4	63120747	.	.	.	.	.	.	.	.	.
chr1	170265171	.	.	.	.	.	.	.	.	.
chr1	145601109	.	.	.	.	.	.	.	.	.
chr6	94625281	.	.	.	.	.	.	.	.	.
chr7	152450338	.	.	.	.	.	.	.	.	.
chr7	152450519	.	.	.	.	.	.	.	.	.
chr1	132961088	.	.	.	.	.	.	.	.	.
chr5	90818821	.	.	.	.	.	.	.	.	.
chr14	69265002	.	.	.	.	.	.	.	.	.
chr14	69273108	.	.	.	.	.	.	.	.	.
chr5	12506043	.	.	.	.	.	.	.	.	.
chr3	109687117	.	.	.	.	.	.	.	.	.
chr6	33926636	.	.	.	.	.	.	.	.	.
chr16	6295331	.	.	.	.	.	.	.	.	.
chr12	117853390	.	.	.	.	.	.	.	.	.
chr14	69265002	.	.	.	.	.	.	.	.	.
chr14	69273108	.	.	.	.	.	.	.	.	.
chr2	122171434	.	.	.	.	.	.	.	.	.
chr1	136966533	.	.	.	.	.	.	.	.	.
chr8	13548998	.	.	.	.	.	.	.	.	.
chr1	172630846	.	.	.	.	.	.	.	.	.
chr1	172630999	.	.	.	.	.	.	.	.	.
chr4	40845966	.	.	.	.	.	.	.	.	.
chr7	148629281	.	.	.	.	.	.	.	.	.
chr9	118884586	.	.	.	.	.	.	.	.	.
chr5	35342159	.	.	.	.	.	.	.	.	.
chr15	99628562	.	.	.	.	.	.	.	.	.
chr6	56806957	.	.	.	.	.	.	.	.	.
chr11	93986729	.	.	.	.	.	.	.	.	.
chr4	35037416	.	.	.	.	.	.	.	.	.
chr2	31019531	.	.	.	.	.	.	.	.	.
chr2	31019531	.	.	.	.	.	.	.	.	.
chr10	45093322	.	.	.	.	.	.	.	.	.
chr7	125720143	.	.	.	.	.	.	.	.	.
chr2	129432150	.	.	.	.	.	.	.	.	.
chr18	42207995	.	.	.	.	.	.	.	.	.
chr4	137004194	.	.	.	.	.	.	.	.	.
chr12	57923295	.	.	.	.	.	.	.	.	.
chr13	73643112	.	.	.	.	.	.	.	.	.
chr2	109810219	.	.	.	.	.	.	.	.	.
