#feature.id	feature.chr	feature.start	feature.end	feature.strand	peak.chr	peak.start	peak.end	order	dist_closest	dist_TSS	dist_TES
BC052931_A630001G21Rik	chr1	87601462	87674840	-	chr1	88408969	88409267	1 of 1	734129	734129	807507
BC053100_5730559C18Rik	chr1	138110108	138130841	-	chr1	138437726	138437860	1 of 2	306885	306885	327618
BC053100_5730559C18Rik	chr1	138110108	138130841	-	chr1	138437726	138437860	2 of 2	306885	306885	327618
BC054802_9630058J23Rik	chr1	181476521	181558044	+	chr1	181061299	181061446	1 of 1	415075	415075	496598
BC055845_2810025M15Rik	chr1	159342483	159350353	+	chr1	159240736	159240866	1 of 4	101617	101617	109487
BC055845_2810025M15Rik	chr1	159342483	159350353	+	chr1	159240736	159240866	2 of 4	101617	101617	109487
BC055845_2810025M15Rik	chr1	159342483	159350353	+	chr1	158835251	158835391	3 of 4	507092	507092	514962
BC055845_2810025M15Rik	chr1	159342483	159350353	+	chr1	158835251	158835391	4 of 4	507092	507092	514962
BC055955_A130010J15Rik	chr1	194999663	195004015	+	chr1	194957396	194957723	1 of 4	41940	41940	46292
BC055955_A130010J15Rik	chr1	194999663	195004015	+	chr1	194957396	194957723	2 of 4	41940	41940	46292
BC055955_A130010J15Rik	chr1	194999663	195004015	+	chr1	195324443	195324741	3 of 4	320428	324780	320428
BC055955_A130010J15Rik	chr1	194999663	195004015	+	chr1	195330701	195330930	4 of 4	326686	331038	326686
BC057872_Rab3gap2	chr1	187028006	187110623	+	---	---	---	---	---	---	---
BC058417_2610017I09Rik	chr1	42648822	42751667	-	---	---	---	---	---	---	---
BC059254_Phlpp	chr1	108042052	108306367	+	chr1	108747519	108747791	1 of 3	441152	705467	441152
BC059254_Phlpp	chr1	108042052	108306367	+	chr1	108747519	108747791	2 of 3	441152	705467	441152
BC059254_Phlpp	chr1	108042052	108306367	+	chr1	108747519	108747791	3 of 3	441152	705467	441152
BC070435_Fam123c	chr1	34620070	34671545	+	chr1	34206924	34207100	1 of 2	412970	412970	464445
BC070435_Fam123c	chr1	34620070	34671545	+	chr1	34206924	34207100	2 of 2	412970	412970	464445
BC070446_Fam135a	chr1	24017617	24107170	-	chr1	24609562	24609623	1 of 4	502392	502392	591945
BC070446_Fam135a	chr1	24017617	24107170	-	chr1	24609562	24609623	2 of 4	502392	502392	591945
BC070446_Fam135a	chr1	24017617	24107170	-	chr1	24609923	24609992	3 of 4	502753	502753	592306
BC070446_Fam135a	chr1	24017617	24107170	-	chr1	24609923	24609992	4 of 4	502753	502753	592306
BC071241_9430016H08Rik	chr1	57463192	57497936	+	---	---	---	---	---	---	---
BC072639_2010300C02Rik	chr1	37646877	37776659	-	---	---	---	---	---	---	---
BC080290_5033414K04Rik	chr1	84032539	84360735	-	---	---	---	---	---	---	---
BC082310_9430031J16Rik	chr1	81073525	81338329	+	---	---	---	---	---	---	---
BC089525_2310007B03Rik	chr1	95047933	95063386	-	chr1	95186508	95186637	1 of 2	123122	123122	138575
BC089525_2310007B03Rik	chr1	95047933	95063386	-	chr1	95186508	95186637	2 of 2	123122	123122	138575
BC089561_Cep350	chr1	157692096	157820375	-	chr1	158510523	158510813	1 of 4	690148	690148	818427
BC089561_Cep350	chr1	157692096	157820375	-	chr1	158510523	158510813	2 of 4	690148	690148	818427
BC089561_Cep350	chr1	157692096	157820375	-	chr1	158537267	158537411	3 of 4	716892	716892	845171
BC089561_Cep350	chr1	157692096	157820375	-	chr1	158537267	158537411	4 of 4	716892	716892	845171
BC147491_A230074B11Rik	chr1	37083441	37133840	+	chr1	36106813	36107058	1 of 1	976383	976383	1026782
BC147657_9630028B13Rik	chr1	187253234	187265698	-	---	---	---	---	---	---	---
ENSMUST00000027997_Rgs5	chr1	171625108	171625913	+	chr1	172620779	172620912	1 of 2	994866	995671	994866
ENSMUST00000027997_Rgs5	chr1	171625108	171625913	+	chr1	172620917	172621080	2 of 2	995004	995809	995004
ENSMUST00000051203_1700001G17Rik	chr1	33726669	33727551	+	chr1	34206924	34207100	1 of 2	479373	480255	479373
ENSMUST00000051203_1700001G17Rik	chr1	33726669	33727551	+	chr1	34206924	34207100	2 of 2	479373	480255	479373
ENSMUST00000054333_A130050O07Rik	chr1	139823828	139826840	+	chr1	140381656	140381785	1 of 1	554816	557828	554816
ENSMUST00000056879_C230029F24Rik	chr1	49301475	49397265	+	---	---	---	---	---	---	---
ENSMUST00000057543_A730013G03Rik	chr1	194659323	194661397	-	chr1	194645118	194645475	1 of 4	13848	15922	13848
ENSMUST00000057543_A730013G03Rik	chr1	194659323	194661397	-	chr1	194957396	194957723	2 of 4	295999	295999	298073
ENSMUST00000057543_A730013G03Rik	chr1	194659323	194661397	-	chr1	194957396	194957723	3 of 4	295999	295999	298073
ENSMUST00000057543_A730013G03Rik	chr1	194659323	194661397	-	chr1	194258648	194259032	4 of 4	400291	402365	400291
ENSMUST00000062637_4930470H14Rik	chr1	175156866	175201240	+	chr1	174376470	174376659	1 of 1	780207	780207	824581
ENSMUST00000070048_ENSMUSG00000056128	chr1	92571736	92576368	+	chr1	92070253	92070431	1 of 2	501305	501305	505937
ENSMUST00000070048_ENSMUSG00000056128	chr1	92571736	92576368	+	chr1	92070253	92070431	2 of 2	501305	501305	505937
ENSMUST00000070987_EG433384	chr1	183781705	183783320	-	---	---	---	---	---	---	---
ENSMUST00000072395_Olfr1406	chr1	175113651	175120746	-	chr1	174376470	174376659	1 of 1	736992	744087	736992
ENSMUST00000094288_Wdr64	chr1	177654798	177798070	+	---	---	---	---	---	---	---
ENSMUST00000094950_Pgap1	chr1	54529849	54614539	-	chr1	54631692	54631815	1 of 3	17153	17153	101843
ENSMUST00000094950_Pgap1	chr1	54529849	54614539	-	chr1	55283572	55283675	2 of 3	669033	669033	753723
ENSMUST00000094950_Pgap1	chr1	54529849	54614539	-	chr1	55283572	55283675	3 of 3	669033	669033	753723
ENSMUST00000097776_Cnnm3	chr1	36567938	36585164	+	chr1	36106813	36107058	1 of 1	460880	460880	478106
EU429481_Igfn1	chr1	137825893	137890307	-	chr1	138437726	138437860	1 of 3	547419	547419	611833
EU429481_Igfn1	chr1	137825893	137890307	-	chr1	138437726	138437860	2 of 3	547419	547419	611833
EU429481_Igfn1	chr1	137825893	137890307	-	chr1	136956468	136956598	3 of 3	869295	933709	869295
FJ024495_Ildr2	chr1	168236882	168239692	-	chr1	167906284	167906554	1 of 4	330328	333138	330328
FJ024495_Ildr2	chr1	168236882	168239692	-	chr1	167906284	167906554	2 of 4	330328	333138	330328
FJ024495_Ildr2	chr1	168236882	168239692	-	chr1	167906284	167906554	3 of 4	330328	333138	330328
FJ024495_Ildr2	chr1	168236882	168239692	-	chr1	167906284	167906554	4 of 4	330328	333138	330328
FJ210934_Unc80	chr1	66514856	66556109	+	---	---	---	---	---	---	---
NM_001001565_Chpf	chr1	75470923	75476437	-	chr1	75481920	75482054	1 of 2	5483	5483	10997
NM_001001565_Chpf	chr1	75470923	75476437	-	chr1	75481920	75482054	2 of 2	5483	5483	10997
NM_001001809_Olfr218	chr1	175130421	175134469	+	chr1	174376470	174376659	1 of 1	753762	753762	757810
NM_001001883_Hecw2	chr1	53867026	54252002	-	chr1	54631692	54631815	1 of 1	379690	379690	764666
NM_001003917_Atg9a	chr1	75177439	75189181	-	chr1	75481920	75482054	1 of 2	292739	292739	304481
NM_001003917_Atg9a	chr1	75177439	75189181	-	chr1	75481920	75482054	2 of 2	292739	292739	304481
NM_001004173_Sgpp2	chr1	78306692	78416864	+	chr1	78630893	78631160	1 of 4	214029	324201	214029
NM_001004173_Sgpp2	chr1	78306692	78416864	+	chr1	78630893	78631160	2 of 4	214029	324201	214029
NM_001004173_Sgpp2	chr1	78306692	78416864	+	chr1	78630893	78631160	3 of 4	214029	324201	214029
NM_001004173_Sgpp2	chr1	78306692	78416864	+	chr1	78630893	78631160	4 of 4	214029	324201	214029
NM_001005423_Mreg	chr1	72170192	72258895	-	chr1	72769824	72770056	1 of 3	510929	510929	599632
NM_001005423_Mreg	chr1	72170192	72258895	-	chr1	72770058	72770226	2 of 3	511163	511163	599866
NM_001005423_Mreg	chr1	72170192	72258895	-	chr1	72815517	72815742	3 of 3	556622	556622	645325
NM_001005507_Smg7	chr1	154684125	154750410	-	chr1	154971572	154971673	1 of 3	221162	221162	287447
NM_001005507_Smg7	chr1	154684125	154750410	-	chr1	155123313	155123435	2 of 3	372903	372903	439188
NM_001005507_Smg7	chr1	154684125	154750410	-	chr1	155123313	155123435	3 of 3	372903	372903	439188
NM_001005508_Arhgap30	chr1	173319072	173340822	+	chr1	172620917	172621080	1 of 2	697992	697992	719742
NM_001005508_Arhgap30	chr1	173319072	173340822	+	chr1	172620779	172620912	2 of 2	698160	698160	719910
NM_001005520_Olfr244	chr1	176032571	176067605	-	---	---	---	---	---	---	---
NM_001008419_Aox3l1	chr1	58335180	58437083	+	---	---	---	---	---	---	---
NM_001008426_EG433365	chr1	155721475	155724001	+	chr1	155123313	155123435	1 of 3	598040	598040	600566
NM_001008426_EG433365	chr1	155721475	155724001	+	chr1	155123313	155123435	2 of 3	598040	598040	600566
NM_001008426_EG433365	chr1	155721475	155724001	+	chr1	154971572	154971673	3 of 3	749802	749802	752328
NM_001008533_Adora1	chr1	136095799	136181661	-	chr1	135851853	135852218	1 of 4	243581	329443	243581
NM_001008533_Adora1	chr1	136095799	136181661	-	chr1	135851853	135852218	2 of 4	243581	329443	243581
NM_001008533_Adora1	chr1	136095799	136181661	-	chr1	135582677	135582828	3 of 4	512971	598833	512971
NM_001008533_Adora1	chr1	136095799	136181661	-	chr1	136956468	136956598	4 of 4	774807	774807	860669
NM_001009940_Il19	chr1	132786042	132915234	-	chr1	132950929	132951247	1 of 2	35695	35695	164887
NM_001009940_Il19	chr1	132786042	132915234	-	chr1	133114860	133115015	2 of 2	199626	199626	328818
NM_001011525_Olfr1415	chr1	94376258	94381054	-	chr1	95186508	95186637	1 of 2	805454	805454	810250
NM_001011525_Olfr1415	chr1	94376258	94381054	-	chr1	95186508	95186637	2 of 2	805454	805454	810250
NM_001011525_Olfr1415	chr1	94407669	94418761	-	chr1	95186508	95186637	1 of 2	767747	767747	778839
NM_001011525_Olfr1415	chr1	94407669	94418761	-	chr1	95186508	95186637	2 of 2	767747	767747	778839
NM_001011684_Nms	chr1	38995917	39007113	+	chr1	39492140	39492513	1 of 2	485027	496223	485027
NM_001011684_Nms	chr1	38995917	39007113	+	chr1	39492140	39492513	2 of 2	485027	496223	485027
NM_001011873_Xkr9	chr1	13658862	13691794	+	chr1	13829227	13829564	1 of 1	137433	170365	137433
NM_001011874_Xkr4	chr1	3203722	3713108	-	---	---	---	---	---	---	---
NM_001012330_Zfp238	chr1	179359958	179380892	+	---	---	---	---	---	---	---
NM_001013374_Lman2l	chr1	36362897	36502078	-	chr1	36106813	36107058	1 of 1	255839	395020	255839
NM_001013382_Lrrc52	chr1	169375806	169397136	-	chr1	170255081	170255260	1 of 2	857945	857945	879275
NM_001013382_Lrrc52	chr1	169375806	169397136	-	chr1	170255081	170255260	2 of 2	857945	857945	879275
NM_001013771_Gm973	chr1	59573136	59693241	+	---	---	---	---	---	---	---
NM_001013779_Aim2	chr1	175385835	175396165	+	---	---	---	---	---	---	---
NM_001014974_Ttll4	chr1	74708314	74748400	+	chr1	75481920	75482054	1 of 2	733520	773606	733520
NM_001014974_Ttll4	chr1	74708314	74748400	+	chr1	75481920	75482054	2 of 2	733520	773606	733520
NM_001024721_BC094916	chr1	175451304	175466101	-	---	---	---	---	---	---	---
NM_001024945_Qsox1	chr1	157625296	157670499	-	chr1	158510523	158510813	1 of 4	840024	840024	885227
NM_001024945_Qsox1	chr1	157625296	157670499	-	chr1	158510523	158510813	2 of 4	840024	840024	885227
NM_001024945_Qsox1	chr1	157625296	157670499	-	chr1	158537267	158537411	3 of 4	866768	866768	911971
NM_001024945_Qsox1	chr1	157625296	157670499	-	chr1	158537267	158537411	4 of 4	866768	866768	911971
NM_001025156_Ccdc93	chr1	123208865	123403037	+	---	---	---	---	---	---	---
NM_001025565_Lhx9	chr1	140694768	140740509	-	chr1	140381656	140381785	1 of 1	312983	358724	312983
NM_001025602_Il1rl1	chr1	40462708	40522260	+	chr1	40325917	40326123	1 of 4	136585	136585	196137
NM_001025602_Il1rl1	chr1	40462708	40522260	+	chr1	40325917	40326123	2 of 4	136585	136585	196137
NM_001025602_Il1rl1	chr1	40462708	40522260	+	chr1	40325917	40326123	3 of 4	136585	136585	196137
NM_001025602_Il1rl1	chr1	40462708	40522260	+	chr1	39492140	39492513	4 of 4	970195	970195	1029747
NM_001029984_Fcrlb	chr1	172836813	172843072	-	chr1	172620917	172621080	1 of 2	215733	221992	215733
NM_001029984_Fcrlb	chr1	172836813	172843072	-	chr1	172620779	172620912	2 of 2	215901	222160	215901
NM_001037170_Tomm40l	chr1	173147934	173152645	-	chr1	172620917	172621080	1 of 2	526854	531565	526854
NM_001037170_Tomm40l	chr1	173147934	173152645	-	chr1	172620779	172620912	2 of 2	527022	531733	527022
NM_001037725_Fam117b	chr1	59937517	60042190	+	---	---	---	---	---	---	---
NM_001037918_Lipt1	chr1	37928603	37934232	+	---	---	---	---	---	---	---
NM_001037999_Dbi	chr1	122009883	122046068	-	---	---	---	---	---	---	---
NM_001038592_Glrx2	chr1	145585774	145608282	+	chr1	145591041	145591176	1 of 4	0	5267	17106
NM_001038592_Glrx2	chr1	145585774	145608282	+	chr1	145591041	145591176	2 of 4	0	5267	17106
NM_001038592_Glrx2	chr1	145585774	145608282	+	chr1	145591041	145591176	3 of 4	0	5267	17106
NM_001038592_Glrx2	chr1	145585774	145608282	+	chr1	145591041	145591176	4 of 4	0	5267	17106
NM_001038619_Dnm3	chr1	163902671	164408155	-	chr1	164215623	164215935	1 of 4	0	192220	312952
NM_001038619_Dnm3	chr1	163902671	164408155	-	chr1	164215623	164215935	2 of 4	0	192220	312952
NM_001038619_Dnm3	chr1	163902671	164408155	-	chr1	163827897	163828062	3 of 4	74609	580093	74609
NM_001038619_Dnm3	chr1	163902671	164408155	-	chr1	163827897	163828062	4 of 4	74609	580093	74609
NM_001039126_Asb1	chr1	93437143	93461729	+	---	---	---	---	---	---	---
NM_001039472_Kif21b	chr1	138027986	138074578	+	chr1	138437726	138437860	1 of 2	363148	409740	363148
NM_001039472_Kif21b	chr1	138027986	138074578	+	chr1	138437726	138437860	2 of 2	363148	409740	363148
NM_001039475_Slco6b1	chr1	98802763	98894139	-	---	---	---	---	---	---	---
NM_001039482_Klhl20	chr1	163018528	163061699	-	chr1	163827897	163828062	1 of 3	766198	766198	809369
NM_001039482_Klhl20	chr1	163018528	163061699	-	chr1	163827897	163828062	2 of 3	766198	766198	809369
NM_001039482_Klhl20	chr1	163018528	163061699	-	chr1	163827897	163828062	3 of 3	766198	766198	809369
NM_001039483_Tmco1	chr1	169238419	169279112	+	---	---	---	---	---	---	---
NM_001039484_Kcnj10	chr1	174258852	174304216	+	chr1	174376470	174376659	1 of 1	72254	117618	72254
NM_001039493_Plekhm3	chr1	64832557	65032270	-	---	---	---	---	---	---	---
NM_001039495_Ccdc108	chr1	74947239	74982168	-	chr1	75481920	75482054	1 of 2	499752	499752	534681
NM_001039495_Ccdc108	chr1	74947239	74982168	-	chr1	75481920	75482054	2 of 2	499752	499752	534681
NM_001039509_Pnkd	chr1	74331504	74400245	+	---	---	---	---	---	---	---
NM_001039710_Coq10b	chr1	55101051	55129538	+	chr1	55283572	55283675	1 of 3	154034	182521	154034
NM_001039710_Coq10b	chr1	55101051	55129538	+	chr1	55283572	55283675	2 of 3	154034	182521	154034
NM_001039710_Coq10b	chr1	55101051	55129538	+	chr1	54631692	54631815	3 of 3	469236	469236	497723
NM_001039934_Mtap2	chr1	66187374	66489157	+	---	---	---	---	---	---	---
NM_001042634_Clk1	chr1	58467034	58480936	-	---	---	---	---	---	---	---
NM_001045481_Ifi203	chr1	175804708	175928457	-	---	---	---	---	---	---	---
NM_001077189_Fcgr2b	chr1	172890316	172916060	-	chr1	172620917	172621080	1 of 2	269236	294980	269236
NM_001077189_Fcgr2b	chr1	172890316	172916060	-	chr1	172620779	172620912	2 of 2	269404	295148	269404
NM_001077353_Gsta3	chr1	21230690	21255722	+	---	---	---	---	---	---	---
NM_001077403_Nrp2	chr1	62724499	63100251	+	chr1	63664888	63665018	1 of 1	564637	940389	564637
NM_001081023_Cacna1s	chr1	137949297	138016348	+	chr1	138437726	138437860	1 of 3	421378	488429	421378
NM_001081023_Cacna1s	chr1	137949297	138016348	+	chr1	138437726	138437860	2 of 3	421378	488429	421378
NM_001081023_Cacna1s	chr1	137949297	138016348	+	chr1	136956468	136956598	3 of 3	992699	992699	1059750
NM_001081078_Lct	chr1	130174327	130224881	-	---	---	---	---	---	---	---
NM_001081079_Ogfrl1	chr1	23278472	23451348	-	---	---	---	---	---	---	---
NM_001081259_Mfsd7b	chr1	192825304	192850534	-	---	---	---	---	---	---	---
NM_001081275_1700009P17Rik	chr1	173032694	173057075	+	chr1	172620917	172621080	1 of 2	411614	411614	435995
NM_001081275_1700009P17Rik	chr1	173032694	173057075	+	chr1	172620779	172620912	2 of 2	411782	411782	436163
NM_001081361_Mosc1	chr1	186610666	186635172	-	chr1	185854947	185855105	1 of 2	755561	780067	755561
NM_001081361_Mosc1	chr1	186610666	186635172	-	chr1	185854947	185855105	2 of 2	755561	780067	755561
NM_001081756_E030049G20Rik	chr1	128277776	128727190	-	---	---	---	---	---	---	---
NM_001082573_Crygc	chr1	65118108	65146863	-	---	---	---	---	---	---	---
NM_001083897_Mpzl1	chr1	167522314	167564669	-	chr1	167222964	167223261	1 of 4	299053	341408	299053
NM_001083897_Mpzl1	chr1	167522314	167564669	-	chr1	167222964	167223261	2 of 4	299053	341408	299053
NM_001083897_Mpzl1	chr1	167522314	167564669	-	chr1	167906284	167906554	3 of 4	341615	341615	383970
NM_001083897_Mpzl1	chr1	167522314	167564669	-	chr1	167906284	167906554	4 of 4	341615	341615	383970
NM_001085409_Steap3	chr1	122037552	122169282	-	---	---	---	---	---	---	---
NM_001099637_Cep170	chr1	178663793	178744307	-	---	---	---	---	---	---	---
NM_001103182_Lin9	chr1	182572002	182620816	+	chr1	182479646	182479905	1 of 2	92097	92097	140911
NM_001103182_Lin9	chr1	182572002	182620816	+	chr1	182479646	182479905	2 of 2	92097	92097	140911
NM_001105667_Dtymk	chr1	95689006	95698492	-	chr1	95186508	95186637	1 of 2	502369	511855	502369
NM_001105667_Dtymk	chr1	95689006	95698492	-	chr1	95186508	95186637	2 of 2	502369	511855	502369
NM_001110783_Ank1	chr1	77759424	77766452	-	chr1	77457642	77457791	1 of 4	301633	308661	301633
NM_001110783_Ank1	chr1	77759424	77766452	-	chr1	78630893	78631160	2 of 4	864441	864441	871469
NM_001110783_Ank1	chr1	77759424	77766452	-	chr1	78630893	78631160	3 of 4	864441	864441	871469
NM_001110783_Ank1	chr1	77759424	77766452	-	chr1	78630893	78631160	4 of 4	864441	864441	871469
NM_001110831_Dnpep	chr1	75304471	75314673	-	chr1	75481920	75482054	1 of 2	167247	167247	177449
NM_001110831_Dnpep	chr1	75304471	75314673	-	chr1	75481920	75482054	2 of 2	167247	167247	177449
NM_001111059_Cd34	chr1	196683888	196826273	+	chr1	197057796	197057843	1 of 1	231523	373908	231523
NM_001111279_Wdfy1	chr1	79689958	79772698	-	---	---	---	---	---	---	---
NM_001111314_Ngef	chr1	89373415	89470499	-	chr1	89989553	89989714	1 of 4	519054	519054	616138
NM_001111314_Ngef	chr1	89373415	89470499	-	chr1	89989553	89989714	2 of 4	519054	519054	616138
NM_001111314_Ngef	chr1	89373415	89470499	-	chr1	89989553	89989714	3 of 4	519054	519054	616138
NM_001111314_Ngef	chr1	89373415	89470499	-	chr1	89989553	89989714	4 of 4	519054	519054	616138
NM_001111316_Ptprc	chr1	139959456	140088994	-	chr1	140381656	140381785	1 of 1	292662	292662	422200
NM_001111320_Idh1	chr1	65185668	65233033	-	---	---	---	---	---	---	---
NM_001113394_Cd247	chr1	167711216	167807397	+	chr1	167906284	167906554	1 of 4	98887	195068	98887
NM_001113394_Cd247	chr1	167711216	167807397	+	chr1	167906284	167906554	2 of 4	98887	195068	98887
NM_001113394_Cd247	chr1	167711216	167807397	+	chr1	167906284	167906554	3 of 4	98887	195068	98887
NM_001113394_Cd247	chr1	167711216	167807397	+	chr1	167906284	167906554	4 of 4	98887	195068	98887
NM_001122685_Rhbdd1	chr1	82313047	82441937	+	---	---	---	---	---	---	---
NM_001126046_Fam178b	chr1	36619544	36740008	-	chr1	36106813	36107058	1 of 1	512486	632950	512486
NM_001128605_Psen2	chr1	182157140	182247499	-	chr1	182479646	182479905	1 of 2	232147	232147	322506
NM_001128605_Psen2	chr1	182157140	182247499	-	chr1	182479646	182479905	2 of 2	232147	232147	322506
NM_001128609_Dedd	chr1	173258959	173273620	+	chr1	172620917	172621080	1 of 2	637879	637879	652540
NM_001128609_Dedd	chr1	173258959	173273620	+	chr1	172620779	172620912	2 of 2	638047	638047	652708
NM_001130174_Tnnt2	chr1	137732931	137748838	+	chr1	138437726	138437860	1 of 3	688888	704795	688888
NM_001130174_Tnnt2	chr1	137732931	137748838	+	chr1	138437726	138437860	2 of 3	688888	704795	688888
NM_001130174_Tnnt2	chr1	137732931	137748838	+	chr1	136956468	136956598	3 of 3	776333	776333	792240
NM_001134829_Lpgat1	chr1	193521144	193605705	+	chr1	194258648	194259032	1 of 2	652943	737504	652943
NM_001134829_Lpgat1	chr1	193521144	193605705	+	chr1	194258648	194259032	2 of 2	652943	737504	652943
NM_001136070_Lgtn	chr1	133049773	133084235	+	chr1	133114860	133115015	1 of 2	30625	65087	30625
NM_001136070_Lgtn	chr1	133049773	133084235	+	chr1	132950929	132951247	2 of 2	98526	98526	132988
NM_001142647_Tmem194b	chr1	52687569	52708760	+	chr1	52625416	52625560	1 of 3	62009	62009	83200
NM_001142647_Tmem194b	chr1	52687569	52708760	+	chr1	52625416	52625560	2 of 3	62009	62009	83200
NM_001142647_Tmem194b	chr1	52687569	52708760	+	chr1	52625416	52625560	3 of 3	62009	62009	83200
NM_001159649_Lax1	chr1	135575626	135586665	-	chr1	135582677	135582828	1 of 3	0	3837	7051
NM_001159649_Lax1	chr1	135575626	135586665	-	chr1	135851853	135852218	2 of 3	265188	265188	276227
NM_001159649_Lax1	chr1	135575626	135586665	-	chr1	135851853	135852218	3 of 3	265188	265188	276227
NM_001159719_Sept2	chr1	95375046	95406820	+	chr1	95186508	95186637	1 of 2	188409	188409	220183
NM_001159719_Sept2	chr1	95375046	95406820	+	chr1	95186508	95186637	2 of 2	188409	188409	220183
NM_001159730_Pdc	chr1	152154402	152181077	+	---	---	---	---	---	---	---
NM_007381_Acadl	chr1	66861363	66909886	-	---	---	---	---	---	---	---
NM_007415_Parp1	chr1	182499033	182531385	+	chr1	182479646	182479905	1 of 2	19128	19128	51480
NM_007415_Parp1	chr1	182499033	182531385	+	chr1	182479646	182479905	2 of 2	19128	19128	51480
NM_007422_Adss	chr1	179693113	179888685	-	---	---	---	---	---	---	---
NM_007432_Akp3	chr1	89021583	89042994	+	chr1	88408969	88409267	1 of 4	612316	612316	633727
NM_007432_Akp3	chr1	89021583	89042994	+	chr1	89989553	89989714	2 of 4	946559	967970	946559
NM_007432_Akp3	chr1	89021583	89042994	+	chr1	89989553	89989714	3 of 4	946559	967970	946559
NM_007432_Akp3	chr1	89021583	89042994	+	chr1	89989553	89989714	4 of 4	946559	967970	946559
NM_007433_Akp5	chr1	88983274	88986861	-	chr1	88408969	88409267	1 of 1	574007	577594	574007
NM_007453_Prdx6	chr1	163170243	163210238	-	chr1	163827897	163828062	1 of 3	617659	617659	657654
NM_007453_Prdx6	chr1	163170243	163210238	-	chr1	163827897	163828062	2 of 3	617659	617659	657654
NM_007453_Prdx6	chr1	163170243	163210238	-	chr1	163827897	163828062	3 of 3	617659	617659	657654
