peak	mid	plus1
chr4	62324439	62324440
chr7	128854935	128854936
chr11	100148455	100148456
chr2	129432150	129432151
chr3	122624125	122624126
chr8	97699878	97699879
chr1	63674953	63674954
chr7	146041529	146041530
chr3	37395368	37395369
chr5	35342159	35342160
chr15	54185561	54185562
chr14	73770668	73770669
chr8	129549456	129549457
chr4	136838756	136838757
chr16	78632436	78632437
chr14	120603083	120603084
chr14	120721569	120721570
chr1	185865026	185865027
chr1	24619593	24619594
chr1	24619958	24619959
chr1	24741037	24741038
chr15	85064373	85064374
chr10	57702300	57702301
chr4	41654489	41654490
chr13	104768206	104768207
chr2	164682813	164682814
chr6	83093011	83093012
chr13	12578010	12578011
chr9	67556540	67556541
chr10	13408622	13408623
chr10	60696228	60696229
chr8	19919526	19919527
chr8	19924810	19924811
chr16	70314810	70314811
chr13	73643112	73643113
chr11	87967409	87967410
chr11	87967599	87967600
chr3	109489624	109489625
chr18	35061192	35061193
chr1	36116936	36116937
chr8	73173598	73173599
chr8	73183558	73183559
chr7	125720143	125720144
chr14	76292024	76292025
chr8	22870138	22870139
chr3	52912682	52912683
chr1	158520668	158520669
chr1	158547339	158547340
chr2	148295584	148295585
chr2	148343818	148343819
chr4	126168413	126168414
chr16	57391635	57391636
chr16	57391748	57391749
chr15	99628562	99628563
chr12	57923295	57923296
chr11	102973374	102973375
chr13	57960273	57960274
chr14	73637753	73637754
chrX	140401017	140401018
chr5	65807245	65807246
chr4	135129138	135129139
chr1	158845321	158845322
chr7	26574315	26574316
chr2	35346371	35346372
chr7	120393123	120393124
chr1	135862036	135862037
chr4	122723762	122723763
chr10	127184557	127184558
chr11	84381942	84381943
chr9	72497695	72497696
chr17	28834572	28834573
chr17	28834572	28834573
chr9	108851463	108851464
chr9	54460731	54460732
chr2	30663471	30663472
chr8	109275046	109275047
chr8	109334564	109334565
chr1	133124938	133124939
chr1	158845321	158845322
chr2	131923486	131923487
chr4	133155902	133155903
chr4	133160955	133160956
chr1	24619593	24619594
chr1	24619958	24619959
chr9	72916030	72916031
chr7	125720143	125720144
chr3	85735976	85735977
chr13	10082361	10082362
chr11	110241161	110241162
chr15	84022595	84022596
chr17	56447632	56447633
chr11	100964551	100964552
chr2	173901730	173901731
chr9	74815214	74815215
chr19	61275648	61275649
chr4	40845966	40845967
chr2	28282918	28282919
chr2	31019531	31019532
chr16	43574371	43574372
chr3	88458239	88458240
chr4	105979770	105979771
chr1	72779940	72779941
chr1	72780142	72780143
chr1	72825630	72825631
chr16	24948588	24948589
chr9	107478162	107478163
chr5	15052325	15052326
chr5	15112758	15112759
chr6	128326644	128326645
chr18	50224778	50224779
chr2	30663471	30663472
chr2	30663471	30663472
chr1	78641027	78641028
chr5	102846906	102846907
chr14	65935630	65935631
chr1	163837980	163837981
chr7	152450338	152450339
chr7	152450519	152450520
chr3	131236567	131236568
chr4	153446235	153446236
chr1	39502327	39502328
chr16	16866444	16866445
chr4	137004194	137004195
chr4	140731847	140731848
chr5	23977791	23977792
chr5	136097865	136097866
chr1	145601109	145601110
chr16	96224521	96224522
chr7	139426142	139426143
chr14	65935630	65935631
chr7	26061110	26061111
chr16	35981824	35981825
chr5	35245832	35245833
chr10	114994096	114994097
chr16	25836029	25836030
chr16	25843933	25843934
chr17	47404360	47404361
chr1	167916419	167916420
chr4	153446235	153446236
chrX	109484691	109484692
chr9	13408238	13408239
chr13	23610160	23610161
chr14	55194787	55194788
chr2	136745391	136745392
chr13	38172741	38172742
chr13	38254769	38254770
chr7	137484210	137484211
chr14	33150022	33150023
chr11	93986729	93986730
chr15	53027764	53027765
chr15	53130961	53130962
chr4	129093950	129093951
chr4	41654489	41654490
chr12	106237696	106237697
chr10	43640892	43640893
chr2	60283369	60283370
chr1	158845321	158845322
chr1	194967560	194967561
chr4	63117595	63117596
chr4	63120747	63120748
chr4	63117595	63117596
chr4	63120747	63120748
chr4	63117595	63117596
chr4	63120747	63120748
chr4	63117595	63117596
chr4	63120747	63120748
chr4	63117595	63117596
chr4	63120747	63120748
chr4	63117595	63117596
chr4	63120747	63120748
chr4	63117595	63117596
chr4	63120747	63120748
chr3	67769446	67769447
chr11	6069204	6069205
chr4	132011663	132011664
chr4	53453177	53453178
chr4	63117595	63117596
chr4	63120747	63120748
chr14	51711605	51711606
chr8	81256455	81256456
chr9	54460731	54460732
chr3	148641587	148641588
chr3	148641735	148641736
chr8	17594804	17594805
chr9	8033087	8033088
chr9	8055015	8055016
chr16	17949763	17949764
chr1	158845321	158845322
chr7	35861923	35861924
chr11	87257043	87257044
chr15	102066010	102066011
chr3	67769446	67769447
chr4	155148830	155148831
chr3	7487953	7487954
chr11	102973374	102973375
chr18	40467892	40467893
chr11	87967409	87967410
chr11	87967599	87967600
chr15	35631086	35631087
chr1	40336020	40336021
chr14	57316903	57316904
chr8	73297497	73297498
chr17	28834572	28834573
chr7	89920499	89920500
chr7	17429367	17429368
chr8	109087961	109087962
chr2	126962808	126962809
chr1	194268840	194268841
chr8	10576464	10576465
chr3	80988962	80988963
chr5	73646186	73646187
chr5	73646186	73646187
chr5	73646186	73646187
chr15	55202036	55202037
chr8	73297497	73297498
chr8	93828640	93828641
chr2	126962808	126962809
chr3	109687117	109687118
chr1	40336020	40336021
chr5	143585307	143585308
chr17	33920556	33920557
chr2	35518012	35518013
chr2	35524862	35524863
chr2	35346371	35346372
chr2	35518012	35518013
chr2	35524862	35524863
chr7	28010205	28010206
chr5	124428096	124428097
chr8	107426996	107426997
chr6	146887669	146887670
chr3	109489624	109489625
chr11	93986729	93986730
chr3	69758259	69758260
chr16	24948588	24948589
chr14	52550650	52550651
chr2	127332233	127332234
chr11	83860977	83860978
chr19	53969373	53969374
chr19	47782532	47782533
chr5	102171703	102171704
chr8	34068894	34068895
chr13	33170306	33170307
chr7	119813749	119813750
chr13	40820500	40820501
chr13	57960273	57960274
chr4	41654489	41654490
chr6	83071812	83071813
chr10	60696228	60696229
chr10	7707698	7707699
chr1	52635488	52635489
chr6	83071812	83071813
chr9	42777363	42777364
chr15	80038823	80038824
chr1	44205544	44205545
chr11	97233548	97233549
chr13	47047075	47047076
chr13	47062921	47062922
chr16	24948588	24948589
chr12	25562241	25562242
chr12	25648378	25648379
chr6	83071812	83071813
chr6	83071812	83071813
chr4	151779151	151779152
chr4	151779297	151779298
chr7	56809068	56809069
chr7	137768001	137768002
chr11	97233548	97233549
chr11	97297212	97297213
chr4	153446235	153446236
chr5	141131567	141131568
chr3	108226998	108226999
chr10	89195191	89195192
chr12	25562241	25562242
chr12	25648378	25648379
chr6	128326644	128326645
chr4	98327543	98327544
chrX	139917606	139917607
chr9	8033087	8033088
chr10	79808095	79808096
chr10	82306942	82306943
chr16	33883661	33883662
chr16	96224521	96224522
chr14	69265002	69265003
chr14	69273108	69273109
chr3	87369620	87369621
chr7	20044401	20044402
chr6	76927942	76927943
chr15	101563471	101563472
chr10	60613588	60613589
chr9	116828689	116828690
chr14	58540770	58540771
chr4	63117595	63117596
chr4	63120747	63120748
chr1	170265171	170265172
chr1	145601109	145601110
chr6	94625281	94625282
chr7	152450338	152450339
chr7	152450519	152450520
chr1	132961088	132961089
chr5	90818821	90818822
chr14	69265002	69265003
chr14	69273108	69273109
chr5	12506043	12506044
chr3	109687117	109687118
chr6	33926636	33926637
chr16	6295331	6295332
chr12	117853390	117853391
chr14	69265002	69265003
chr14	69273108	69273109
chr2	122171434	122171435
chr1	136966533	136966534
chr8	13548998	13548999
chr1	172630846	172630847
chr1	172630999	172631000
chr4	40845966	40845967
chr7	148629281	148629282
chr9	118884586	118884587
chr5	35342159	35342160
chr15	99628562	99628563
chr6	56806957	56806958
chr11	93986729	93986730
chr4	35037416	35037417
chr2	31019531	31019532
chr2	31019531	31019532
chr10	45093322	45093323
chr7	125720143	125720144
chr2	129432150	129432151
chr18	42207995	42207996
chr4	137004194	137004195
chr12	57923295	57923296
chr13	73643112	73643113
chr2	109810219	109810220
chr4	57351174	57351175
chr9	14466849	14466850
chr9	14480293	14480294
chr7	150571560	150571561
chr5	103816943	103816944
chr5	103824902	103824903
chr5	104025747	104025748
chr19	26820923	26820924
chr1	185865026	185865027
chr11	120952392	120952393
chr18	42930957	42930958
chr18	43135643	43135644
chr3	109687117	109687118
chr13	56003795	56003796
chr16	95881212	95881213
chr6	121080230	121080231
chr9	66728918	66728919
chr10	17725474	17725475
chr5	102171703	102171704
chr9	44307103	44307104
chr9	75371664	75371665
chr7	17429367	17429368
chr3	109687117	109687118
chr17	56447632	56447633
chr13	38254769	38254770
chr1	90602564	90602565
chr8	119851483	119851484
chr5	90818821	90818822
chr12	86926811	86926812
chr18	61934208	61934209
chr4	153446235	153446236
chr2	148558303	148558304
chr2	129432150	129432151
chr11	16560450	16560451
chr4	144482189	144482190
chr5	115329525	115329526
chr17	46403243	46403244
chr17	46403380	46403381
chr11	76126479	76126480
chr4	70039222	70039223
chr10	106033584	106033585
chr10	106033751	106033752
chr11	97171690	97171691
chr15	102066010	102066011
chr13	110051416	110051417
chr11	114563829	114563830
chr4	122723762	122723763
chr19	53969373	53969374
chr14	73637753	73637754
chr18	61428548	61428549
chr18	5016849	5016850
chr16	16912317	16912318
chr9	123371104	123371105
chr19	10798384	10798385
chr8	14306960	14306961
chr1	92080342	92080343
chr3	90049693	90049694
chr13	102618599	102618600
chr12	112975712	112975713
chr6	128326644	128326645
chrX	139917606	139917607
chr7	87336398	87336399
chr6	100518848	100518849
chr7	28010205	28010206
chr16	34430325	34430326
chr2	136745391	136745392
chr1	13839396	13839397
chr1	26744340	26744341
chr11	100964551	100964552
chr14	9521198	9521199
chr1	158520668	158520669
chr1	158547339	158547340
chr14	41762023	41762024
chr3	10277579	10277580
chr2	172759694	172759695
chr2	172763360	172763361
chr5	115521850	115521851
chr9	44215148	44215149
chr10	43740181	43740182
chr10	41613298	41613299
chr18	65457025	65457026
chr13	91510502	91510503
chr15	101063407	101063408
chr3	69758259	69758260
chr16	43508591	43508592
chr16	43574371	43574372
chr13	63381834	63381835
chr1	55293624	55293625
chr17	17959961	17959962
chr1	182489776	182489777
chr11	110241161	110241162
chr1	88419118	88419119
chr14	79927582	79927583
chr6	147297840	147297841
chr2	131923486	131923487
chr5	136723239	136723240
chr4	129413697	129413698
chr18	43419069	43419070
chr18	43419219	43419220
chr13	110051416	110051417
chr5	35245832	35245833
chr5	51959859	51959860
chr12	37211753	37211754
chr2	35346371	35346372
chr2	129432150	129432151
chr7	126039427	126039428
chr7	126039427	126039428
chr12	113981451	113981452
chr8	129549456	129549457
chr10	57702300	57702301
chr1	108757655	108757656
chr5	147072751	147072752
chr5	147072865	147072866
chr19	9062346	9062347
chr19	9144947	9144948
chr5	32423622	32423623
chr14	70724643	70724644
chr18	42930957	42930958
chr18	43135643	43135644
chr7	127004913	127004914
chr1	167916419	167916420
chr12	70755181	70755182
chr4	141160758	141160759
chr4	118220858	118220859
chr1	167916419	167916420
chr7	87336398	87336399
chr14	41762023	41762024
chr13	57960273	57960274
chr7	146041529	146041530
chr3	159510847	159510848
chr5	124616438	124616439
chr13	57960273	57960274
chr1	75491987	75491988
chr5	73646186	73646187
chr1	108757655	108757656
chr8	113806188	113806189
chr10	82306942	82306943
chr7	119813749	119813750
chr7	138123566	138123567
chr7	138123699	138123700
chr14	61973511	61973512
chr17	28478172	28478173
chr1	197067820	197067821
chr11	70397406	70397407
chr4	97441884	97441885
chr4	97441884	97441885
chr2	109810219	109810220
chr8	93828640	93828641
chr7	17429367	17429368
chr2	122171434	122171435
chr10	107429926	107429927
chr17	31979297	31979298
chr18	50224778	50224779
chr8	24206095	24206096
chr10	93642365	93642366
chr8	71717281	71717282
chr1	181071373	181071374
chrX	166360754	166360755
chrX	166427362	166427363
chrX	166432950	166432951
chr10	21862583	21862584
chr10	21862774	21862775
chr8	88126748	88126749
chr17	79794315	79794316
chr11	87257043	87257044
chr2	132577421	132577422
chr12	112975712	112975713
chr2	140652077	140652078
chr13	113548696	113548697
chr10	31587625	31587626
chr16	25836029	25836030
chr16	25843933	25843934
chr17	46403243	46403244
chr17	46403380	46403381
chrX	84483714	84483715
chr2	136745391	136745392
chr4	117295856	117295857
chr1	167233113	167233114
chr1	120770337	120770338
chr4	140731847	140731848
chr3	52912682	52912683
chr7	126039427	126039428
chr6	146887669	146887670
chr1	145601109	145601110
chr2	5300381	5300382
chr1	89999634	89999635
chr1	135592753	135592754
chr10	13089536	13089537
chr7	134819118	134819119
chr1	44205544	44205545
chr6	83071812	83071813
chr6	83093011	83093012
chr9	44215148	44215149
chr7	89920499	89920500
chr14	75184388	75184389
chr14	75346569	75346570
chr8	23921280	23921281
chr1	34217012	34217013
chr3	83579412	83579413
chr17	36368235	36368236
chr8	113806188	113806189
chr6	33926636	33926637
chr16	25836029	25836030
chr16	25843933	25843934
chr13	120276594	120276595
chr9	120883928	120883929
chr16	25836029	25836030
chr16	25843933	25843934
chr16	25836029	25836030
chr16	25843933	25843934
chr3	121601368	121601369
chr18	47529528	47529529
chrX	163589625	163589626
chr6	128326644	128326645
chr5	58431600	58431601
chr10	82517145	82517146
chr16	44101459	44101460
chr7	148379180	148379181
chr7	148379362	148379363
chr4	95598334	95598335
chr3	90049693	90049694
chr6	51351355	51351356
chr10	93642365	93642366
chr5	115997785	115997786
chr7	26061110	26061111
chr4	97441884	97441885
chr3	116529685	116529686
chr7	117975070	117975071
chr4	151779151	151779152
chr4	151779297	151779298
chr2	126962808	126962809
chr3	37395368	37395369
chr7	148629281	148629282
chr6	128289233	128289234
chr11	3266659	3266660
chr11	100148455	100148456
chr12	113981451	113981452
chr14	52550650	52550651
chr6	113116711	113116712
chr5	66472573	66472574
chr16	25385707	25385708
chr7	148379180	148379181
chr7	148379362	148379363
chr10	59362596	59362597
chr4	65265851	65265852
chr4	65266046	65266047
chr12	112477144	112477145
chr7	148379180	148379181
chr7	148379362	148379363
chr1	164225779	164225780
chr4	140731847	140731848
chr16	25836029	25836030
chr16	25843933	25843934
chr5	143585307	143585308
chr7	89920499	89920500
chr10	81033719	81033720
chr7	150571560	150571561
chr6	121080230	121080231
chr7	139426142	139426143
chr8	4586605	4586606
chr5	102846906	102846907
chr11	70397406	70397407
chr14	48866037	48866038
chr11	115836265	115836266
chr16	33883661	33883662
chr14	61693994	61693995
chr7	123336714	123336715
chr16	90151215	90151216
chr7	88092779	88092780
chr4	141297891	141297892
chr2	102274223	102274224
chr2	102288220	102288221
chr11	119827740	119827741
chr16	16866444	16866445
chr11	119827740	119827741
chr1	194655297	194655298
chr5	99781594	99781595
chr11	76126479	76126480
chr5	15052325	15052326
chr5	15112758	15112759
chr16	90095387	90095388
chr16	90151215	90151216
chr13	98808966	98808967
chr13	120276594	120276595
chr8	121354388	121354389
chr2	173901730	173901731
chr2	168745748	168745749
chr4	129413697	129413698
chr2	172759694	172759695
chr2	172763360	172763361
chr15	80691860	80691861
chr4	53231170	53231171
chr17	33920556	33920557
chr4	141297891	141297892
chr16	16912317	16912318
chr4	133160955	133160956
chr10	43640892	43640893
chr8	73297497	73297498
chr18	5016849	5016850
chr11	70397406	70397407
chr1	52635488	52635489
chr8	73297497	73297498
chr15	77629316	77629317
chr15	77661605	77661606
chr7	56809068	56809069
chr11	69572437	69572438
chr13	96258876	96258877
chr5	23977791	23977792
chr2	31019531	31019532
chr2	31119743	31119744
chr7	148379180	148379181
chr7	148379362	148379363
chr13	23610160	23610161
chr9	103988283	103988284
chr14	52550650	52550651
chr13	91510502	91510503
chr7	128984541	128984542
chr7	128854935	128854936
chr19	10798384	10798385
chr10	88433836	88433837
chr2	110568326	110568327
chr6	143811364	143811365
chr3	101743281	101743282
chr12	112330425	112330426
chr2	165427405	165427406
chr10	127058840	127058841
chr1	154981623	154981624
chr1	155133374	155133375
chr11	16560450	16560451
chr2	148558303	148558304
chrX	137172820	137172821
chr12	112330425	112330426
chr12	112477144	112477145
chr5	64634166	64634167
chr16	91875996	91875997
chr19	53969373	53969374
chr5	125870085	125870086
chr14	70724643	70724644
chr7	137768001	137768002
chr10	80126390	80126391
chr15	82973449	82973450
chr16	17866100	17866101
chr11	21483462	21483463
chr10	79808095	79808096
chr1	145601109	145601110
chr2	122171434	122171435
chr16	92744754	92744755
chr11	50300699	50300700
chr11	4116866	4116867
chr16	90468446	90468447
chr17	56447632	56447633
chr14	51711605	51711606
chr12	92932316	92932317
chr12	92984595	92984596
chr3	59001668	59001669
chr3	79711488	79711489
chr6	83093011	83093012
chr17	47404360	47404361
chr16	17866100	17866101
chr9	111053664	111053665
chr8	13548998	13548999
chr9	70477636	70477637
chr11	103196320	103196321
chr1	195334592	195334593
chr1	195340816	195340817
chr1	195348466	195348467
chr1	195352857	195352858
chr1	195394981	195394982
chr1	164225779	164225780
chr2	157260393	157260394
chr13	12578010	12578011
chr7	138009297	138009298
chr15	100992242	100992243
chr6	127325975	127325976
chr6	127381753	127381754
chr6	127425244	127425245
chr10	81033719	81033720
chr3	29852588	29852589
chr14	58540770	58540771
chr12	104299157	104299158
chr8	109334564	109334565
chr7	26061110	26061111
chr11	107278688	107278689
chr6	76927942	76927943
chr5	99781594	99781595
chr9	72916030	72916031
chr4	98327543	98327544
chr6	47601314	47601315
chrX	166360754	166360755
chrX	166427362	166427363
chrX	166432950	166432951
chr9	66728918	66728919
chr9	66794084	66794085
chr6	37242315	37242316
chr1	138447793	138447794
chr1	159250801	159250802
chr2	76386556	76386557
chr8	73173598	73173599
chr8	73183558	73183559
chr4	98327543	98327544
chr6	128289233	128289234
chr4	153446235	153446236
chr9	103988283	103988284
chr5	72564131	72564132
chr11	107278688	107278689
chr14	11823985	11823986
chr15	80533396	80533397
chr10	67567003	67567004
chr9	111053664	111053665
chr3	30992357	30992358
chr1	95196573	95196574
chr18	57946142	57946143
chr11	8483612	8483613
chr11	8541945	8541946
chr1	108757655	108757656
chr4	62324439	62324440
chr5	21697850	21697851
chr10	80126390	80126391
chr9	3258857	3258858
chr10	59693654	59693655
chr12	58725309	58725310
chr4	100623172	100623173
chr10	41613298	41613299
chr7	16894872	16894873
chr9	24346538	24346539
chr16	44101459	44101460
chr15	32250651	32250652
chr9	66728918	66728919
chr9	66794084	66794085
chr7	137768001	137768002
chr1	78641027	78641028
chr2	110568326	110568327
chr11	29514477	29514478
chr9	106273656	106273657
chr11	20247624	20247625
chr3	100835953	100835954
chr5	136723239	136723240
chr1	90423032	90423033
chr11	59272503	59272504
chrX	98516735	98516736
chr18	12671183	12671184
chr16	16866444	16866445
chr16	25836029	25836030
chr16	25843933	25843934
chr1	155133374	155133375
chr4	135129138	135129139
chr13	97344282	97344283
chr19	5846865	5846866
chr5	135053576	135053577
chr2	136745391	136745392
chr17	28834572	28834573
chr17	28834572	28834573
chr5	66472573	66472574
chr8	86143616	86143617
chr1	39502327	39502328
chr9	107478162	107478163
chr4	150245511	150245512
chr2	68763818	68763819
chr6	17267124	17267125
chr4	141160758	141160759
chr18	40467892	40467893
chr11	121341339	121341340
chr1	34217012	34217013
chr5	147910495	147910496
chr9	123371104	123371105
chr11	29514477	29514478
chr11	3266659	3266660
chr11	70397406	70397407
chr9	86714892	86714893
chr17	28478172	28478173
chr6	128289233	128289234
chr14	26296311	26296312
chr8	107426996	107426997
chr18	34147214	34147215
chr15	101563471	101563472
chr1	194967560	194967561
chr15	97706407	97706408
chr7	137484210	137484211
chr1	91506074	91506075
chr1	91506237	91506238
chr9	8033087	8033088
chr15	75989308	75989309
chr8	23921280	23921281
chr10	84922053	84922054
chr16	17866100	17866101
chr18	42207995	42207996
chr16	43508591	43508592
chr16	43574371	43574372
chr18	9428997	9428998
chr11	5481053	5481054
chr7	152450338	152450339
chr7	152450519	152450520
chr4	45434915	45434916
chr6	56806957	56806958
chr5	73646186	73646187
chr16	44101459	44101460
chr16	92744754	92744755
chr5	66472573	66472574
chr16	92744754	92744755
chr13	97344282	97344283
chr19	9018714	9018715
chr4	80978722	80978723
chr9	74815214	74815215
chr17	84737002	84737003
chr18	50224778	50224779
chr2	130201294	130201295
chr16	31290592	31290593
chr7	138123566	138123567
chr7	138123699	138123700
chr14	73637753	73637754
chr14	73655550	73655551
chr14	73713362	73713363
chr14	73770668	73770669
chr13	40820500	40820501
chr14	63456124	63456125
chr8	13668465	13668466
chr14	70724643	70724644
chr5	114623119	114623120
chr7	135696903	135696904
chr19	9062346	9062347
chr15	80691860	80691861
chr1	167233113	167233114
chr4	129413697	129413698
chr6	143811364	143811365
chr3	108226998	108226999
chr6	47601314	47601315
chr4	144482189	144482190
chr7	16894872	16894873
chr13	120276594	120276595
chr11	100964551	100964552
chr8	71717281	71717282
chr1	17040475	17040476
chr5	73646186	73646187
chr14	79927582	79927583
chr7	148379180	148379181
chr7	148379362	148379363
chr7	148379180	148379181
chr7	148379362	148379363
chr9	107478162	107478163
chr10	41613298	41613299
chr18	61428548	61428549
chr11	119827740	119827741
chr7	16562058	16562059
chr3	115822204	115822205
chr2	172759694	172759695
chr2	172763360	172763361
chr16	72688706	72688707
chr4	155164911	155164912
chr15	102066010	102066011
chr2	165720222	165720223
chr1	158845321	158845322
chr2	127332233	127332234
chr15	102066010	102066011
chr15	54185561	54185562
chr5	90818821	90818822
chr6	86130730	86130731
chr11	69572437	69572438
chr1	174386565	174386566
chr7	127004913	127004914
chr15	32250651	32250652
chr4	140731847	140731848
chr11	100964551	100964552
chr9	83462792	83462793
chr11	4116866	4116867
chr9	43528251	43528252
chr9	43585984	43585985
chr5	115997785	115997786
chr10	94306306	94306307
chr3	67769446	67769447
chr3	67769446	67769447
chr3	30992357	30992358
chr7	148629281	148629282
chr15	82973449	82973450
chr7	126039427	126039428
chr10	82306942	82306943
chr10	76664902	76664903
chr6	87137073	87137074
chr6	87222111	87222112
chr1	140391721	140391722
chr2	38355143	38355144
chr1	135862036	135862037
chr14	70724643	70724644
chr1	138447793	138447794
chr18	39723442	39723443
chr2	165720222	165720223
chr2	35518012	35518013
chr2	35524862	35524863
chr17	71508749	71508750
chr17	43064430	43064431
chr16	62799541	62799542
chr16	34430325	34430326
chr7	88092779	88092780
chr5	147910495	147910496
chr13	103679464	103679465
chr7	104849801	104849802
chr6	49172166	49172167
chr8	13668465	13668466
chr1	89999634	89999635
chr10	114752719	114752720
chr15	80038823	80038824
chr4	136010879	136010880
chr4	132011663	132011664
chr13	120276594	120276595
chr14	69265002	69265003
chr14	69273108	69273109
chr10	59693654	59693655
chr10	59693654	59693655
chr10	59693654	59693655
chr10	59693654	59693655
chrX	137172820	137172821
chr4	35037416	35037417
chr2	38843815	38843816
chr2	38843972	38843973
chr16	92744754	92744755
chr1	167916419	167916420
chr14	75346569	75346570
chr9	70477636	70477637
chr7	120874367	120874368
chr11	103196320	103196321
chr14	51711605	51711606
chr1	145601109	145601110
chr9	118884586	118884587
chr15	80533396	80533397
chr15	80691860	80691861
chr16	62799541	62799542
chr16	57391635	57391636
chr16	57391748	57391749
chr2	164682813	164682814
chr15	74917152	74917153
chr15	74917383	74917384
chr1	159250801	159250802
chr3	37395368	37395369
chr7	16562058	16562059
chr9	3258857	3258858
chr17	56447632	56447633
